area,crime_rate,light_level,crowd_density,sos_count,time_risk,user_rating,feedback_text,sentiment_score,psi_score,lat,lng
Yerwada,0.72,0.25,0.72,2,0.32,3,Highly secure area,-0.75,54.5,18.5538,73.8826
Baner,0.57,0.46,0.41,3,0.34,3,Highly secure area,0.79,78.25,18.559,73.7787
Warje,0.36,0.48,0.84,6,0.15,5,Very safe route,0.01,68.35,18.4852,73.8062
Bibwewadi,0.51,0.71,0.35,3,0.64,5,Highly secure area,0.89,79.3,18.4735,73.8647
Shivajinagar,0.32,0.73,0.69,6,0.33,1,Not recommended after 9pm,0.21,71.6,18.5314,73.8446
Pashan,0.74,0.74,0.89,0,0.88,2,Not recommended after 9pm,-0.53,64.85,18.5397,73.7932
Sus,0.46,0.95,0.21,5,0.32,5,Good lighting and safe,-0.83,54.1,18.5584,73.7423
Sinhagad Road,0.35,0.74,0.19,0,0.31,5,Crime prone area,-0.73,81.85,18.46,73.81
Bhosari,0.56,0.37,0.4,6,0.24,1,Feels unsafe at night,0.63,61.8,18.6298,73.8446
Yerwada,0.22,0.44,0.37,5,0.24,3,Very safe route,0.8,83.7,18.5538,73.8826
Kothrud,0.25,0.26,0.5,2,0.55,1,Not recommended after 9pm,-0.74,66.8,18.5074,73.8077
Katraj,0.75,0.42,0.47,5,0.66,4,Feels unsafe at night,-0.68,32.6,18.4529,73.8554
Bhosari,0.9,0.12,0.55,2,0.57,2,Crime prone area,0.22,53.2,18.6298,73.8446
Karve Nagar,0.56,0.52,0.22,6,0.54,4,Good lighting and safe,-0.06,45.9,18.4912,73.8214
Camp,0.38,0.56,0.56,0,0.54,4,Crime prone area,0.9,100.0,18.5204,73.8787
Magarpatta,0.27,0.9,0.79,3,0.76,2,Highly secure area,0.4,86.4,18.5136,73.9213
Bhosari,0.58,0.11,0.89,6,0.96,4,Highly secure area,-0.75,26.9,18.6298,73.8446
Kondhwa,0.31,0.65,0.53,4,0.42,3,Crowded but manageable,-0.28,70.05,18.4731,73.8944
Deccan,0.47,0.77,0.52,0,0.45,3,Good lighting and safe,-0.67,78.9,18.5173,73.8413
Sus,0.64,0.56,0.32,5,0.17,5,Risky area,-0.1,56.1,18.5584,73.7423
Sus,0.83,0.21,0.16,2,0.79,1,Not recommended after 9pm,-0.67,35.7,18.5584,73.7423
Wakad,0.75,0.93,0.43,1,0.45,3,Crowded but manageable,0.89,87.6,18.5987,73.7656
Nigdi,0.2,0.64,0.86,0,0.48,3,Feels unsafe at night,-0.19,97.75,18.6429,73.7585
Chinchwad,0.66,0.38,0.89,0,0.55,5,Very safe route,0.69,87.55,18.6229,73.7842
Wakad,0.23,0.27,0.89,2,0.9,5,Very safe route,0.04,76.35,18.5987,73.7656
Sinhagad Road,0.55,0.19,0.14,6,0.61,4,Crime prone area,0.61,49.2,18.46,73.81
Bhosari,0.42,0.37,0.84,5,0.48,2,Comfortable route,-0.79,50.7,18.6298,73.8446
Deccan,0.75,0.28,0.7,1,0.27,1,Good lighting and safe,0.64,80.4,18.5173,73.8413
Magarpatta,0.89,0.51,0.67,2,0.2,1,Crime prone area,0.77,76.3,18.5136,73.9213
NIBM,0.45,0.53,0.56,0,0.52,2,Highly secure area,-0.77,73.6,18.48,73.89
Balewadi,0.87,0.95,0.29,4,0.39,2,Comfortable route,0.22,57.85,18.576,73.7739
Hadapsar,0.32,0.42,0.34,0,0.79,2,Highly secure area,-0.8,69.1,18.5089,73.9259
Sinhagad Road,0.19,0.13,0.5,2,0.97,3,Comfortable route,-0.64,60.35,18.46,73.81
Yerwada,0.25,0.49,0.82,6,0.87,2,Crowded but manageable,0.13,60.1,18.5538,73.8826
Aundh,0.41,0.44,0.6,1,0.29,3,Mostly safe locality,-0.02,85.1,18.558,73.8075
Akurdi,0.37,0.92,0.4,6,0.68,5,Mostly safe locality,-0.22,56.1,18.6498,73.7711
Viman Nagar,0.12,0.38,0.13,4,0.94,2,Very safe route,-0.87,50.35,18.5679,73.9143
Kondhwa,0.39,0.71,0.2,0,0.76,5,Highly secure area,0.67,91.9,18.4731,73.8944
Wakad,0.46,0.12,0.61,5,0.29,3,Highly secure area,-0.56,50.3,18.5987,73.7656
Dhayari,0.18,0.17,0.68,0,0.26,1,Comfortable route,-0.56,88.55,18.4411,73.8058
Karve Nagar,0.27,0.66,0.67,6,0.27,2,Very safe route,-0.77,58.85,18.4912,73.8214
Warje,0.18,0.19,0.74,2,0.76,1,Not recommended after 9pm,0.78,89.55,18.4852,73.8062
NIBM,0.24,0.67,0.33,2,0.21,3,Highly secure area,-0.22,86.25,18.48,73.89
Bibwewadi,0.56,0.92,0.38,6,0.31,4,Crowded but manageable,0.82,71.3,18.4735,73.8647
Chinchwad,0.19,0.53,0.44,3,0.84,5,Good lighting and safe,-0.27,68.9,18.6229,73.7842
NIBM,0.3,0.55,0.79,0,0.85,3,Feels unsafe at night,0.47,94.2,18.48,73.89
Sinhagad Road,0.77,0.26,0.94,3,0.9,3,Feels unsafe at night,0.04,50.1,18.46,73.81
Karve Nagar,0.56,0.12,0.38,6,0.32,2,Not recommended after 9pm,-0.52,39.0,18.4912,73.8214
Nigdi,0.15,0.42,0.43,6,0.38,2,Mostly safe locality,-0.66,57.1,18.6429,73.7585
Bhosari,0.21,0.89,0.55,6,0.41,5,Crime prone area,-0.73,61.3,18.6298,73.8446
Pashan,0.93,0.85,0.89,0,0.1,2,Feels unsafe at night,0.09,83.8,18.5397,73.7932
Akurdi,0.7,0.41,0.24,0,0.82,2,Feels unsafe at night,0.46,71.05,18.6498,73.7711
Aundh,0.81,0.77,0.64,5,0.64,4,Very safe route,-0.9,34.25,18.558,73.8075
Nigdi,0.23,0.58,0.32,6,0.4,2,Comfortable route,0.45,71.45,18.6429,73.7585
Pashan,0.93,0.49,0.2,0,0.37,2,Very safe route,0.1,66.25,18.5397,73.7932
Aundh,0.89,0.17,0.74,1,0.24,5,Mostly safe locality,-0.31,59.9,18.558,73.8075
Bhosari,0.24,0.46,0.62,2,0.79,3,Feels unsafe at night,-0.14,75.6,18.6298,73.8446
Kondhwa,0.74,0.76,0.55,0,0.23,5,Highly secure area,0.03,83.15,18.4731,73.8944
Katraj,0.36,0.18,0.24,4,0.31,4,Comfortable route,-0.28,60.3,18.4529,73.8554
Kothrud,0.82,0.91,0.87,0,0.73,2,Comfortable route,0.37,80.5,18.5074,73.8077
Kothrud,0.13,0.58,0.5,2,0.78,3,Crime prone area,0.04,83.5,18.5074,73.8077
Balewadi,0.5,0.41,0.68,1,0.47,5,Risky area,0.65,88.3,18.576,73.7739
Swargate,0.64,0.15,0.53,5,0.29,1,Comfortable route,-0.08,49.95,18.5018,73.8585
Chinchwad,0.21,0.51,0.11,3,0.67,4,Crime prone area,-0.03,71.5,18.6229,73.7842
NIBM,0.35,0.55,0.24,4,0.57,2,Highly secure area,0.23,68.7,18.48,73.89
Swargate,0.25,0.9,0.72,4,0.62,5,Risky area,-0.58,69.6,18.5018,73.8585
Sinhagad Road,0.42,0.5,0.78,2,0.88,2,Mostly safe locality,0.32,75.7,18.46,73.81
Sinhagad Road,0.18,0.37,0.52,4,0.38,4,Feels unsafe at night,-0.44,69.35,18.46,73.81
Dhayari,0.84,0.52,0.26,3,0.25,3,Crime prone area,-0.35,51.55,18.4411,73.8058
Magarpatta,0.37,0.34,0.8,4,0.29,2,Feels unsafe at night,0.28,76.7,18.5136,73.9213
Balewadi,0.68,0.93,0.36,3,0.11,3,Crime prone area,0.89,86.5,18.576,73.7739
Kondhwa,0.84,0.77,0.27,1,0.25,4,Not recommended after 9pm,-0.55,62.4,18.4731,73.8944
Baner,0.89,0.23,0.54,0,0.46,1,Very safe route,0.31,68.7,18.559,73.7787
Wakad,0.3,0.62,0.48,6,0.81,3,Good lighting and safe,0.47,62.95,18.5987,73.7656
Deccan,0.3,0.73,0.5,1,0.21,1,Risky area,-0.59,85.9,18.5173,73.8413
NIBM,0.41,0.81,0.59,3,1.0,2,Risky area,0.67,76.7,18.48,73.89
Hadapsar,0.79,0.54,0.4,6,0.19,5,Crowded but manageable,0.7,57.2,18.5089,73.9259
Bhosari,0.79,0.79,0.91,4,0.98,2,Feels unsafe at night,0.11,51.4,18.6298,73.8446
Katraj,0.79,0.28,0.69,0,0.32,3,Feels unsafe at night,-0.43,66.65,18.4529,73.8554
Aundh,0.11,0.51,0.87,5,0.57,5,Highly secure area,0.63,85.0,18.558,73.8075
Aundh,0.6,0.61,0.15,2,0.16,5,Mostly safe locality,0.24,77.05,18.558,73.8075
Kondhwa,0.41,0.87,0.35,1,0.76,5,Highly secure area,-0.55,71.7,18.4731,73.8944
Shivajinagar,0.67,0.52,0.29,4,0.38,3,Feels unsafe at night,0.8,68.3,18.5314,73.8446
Bibwewadi,0.39,0.39,0.42,1,0.31,1,Comfortable route,-0.4,77.25,18.4735,73.8647
Warje,0.75,0.79,0.2,2,0.5,3,Risky area,-0.54,55.75,18.4852,73.8062
Magarpatta,0.85,0.2,0.6,2,0.35,2,Feels unsafe at night,0.05,58.75,18.5136,73.9213
Sinhagad Road,0.48,0.62,0.29,2,0.65,1,Good lighting and safe,-0.22,66.7,18.46,73.81
Yerwada,0.82,0.18,0.19,1,0.38,3,Crowded but manageable,0.85,71.95,18.5538,73.8826
Viman Nagar,0.22,0.75,0.1,1,0.92,2,Very safe route,-0.41,73.9,18.5679,73.9143
Camp,0.77,0.73,0.33,4,0.75,1,Crowded but manageable,-0.49,41.1,18.5204,73.8787
Hadapsar,0.29,0.17,0.74,1,0.46,1,Very safe route,0.85,96.9,18.5089,73.9259
Deccan,0.83,0.25,0.31,1,0.52,3,Mostly safe locality,-0.34,53.15,18.5173,73.8413
Viman Nagar,0.67,0.64,0.59,1,0.54,2,Mostly safe locality,-0.38,67.2,18.5679,73.9143
Balewadi,0.68,0.77,0.81,1,0.44,5,Highly secure area,0.38,84.35,18.576,73.7739
Kondhwa,0.63,0.17,0.45,5,0.23,1,Risky area,-0.02,51.95,18.4731,73.8944
Warje,0.58,0.42,0.85,5,0.37,5,Feels unsafe at night,-0.74,48.1,18.4852,73.8062
Sus,0.72,0.72,0.51,6,0.21,1,Highly secure area,0.6,61.9,18.5584,73.7423
Wakad,0.63,0.41,0.82,2,0.59,5,Crowded but manageable,0.55,75.6,18.5987,73.7656
Shivajinagar,0.65,0.45,0.28,5,0.68,3,Risky area,0.34,50.05,18.5314,73.8446
Baner,0.8,0.81,0.53,0,0.76,5,Risky area,0.51,77.9,18.559,73.7787
Dhayari,0.6,0.46,0.44,4,0.2,3,Crime prone area,-0.26,59.4,18.4411,73.8058
NIBM,0.57,0.71,0.9,6,0.64,2,Mostly safe locality,-0.52,46.25,18.48,73.89
Bhosari,0.83,0.21,0.91,5,0.99,2,Mostly safe locality,0.2,37.25,18.6298,73.8446
Akurdi,0.68,0.14,0.69,5,0.14,2,Highly secure area,-0.06,53.1,18.6498,73.7711
Shivajinagar,0.34,0.41,0.29,5,0.72,1,Highly secure area,0.49,63.4,18.5314,73.8446
Pimpri,0.56,0.45,0.32,6,0.77,1,Mostly safe locality,-0.65,32.4,18.6262,73.8118
Katraj,0.84,0.66,0.62,0,0.85,4,Crime prone area,-0.76,54.1,18.4529,73.8554
Hinjewadi,0.65,0.84,0.58,1,0.45,3,Mostly safe locality,0.14,80.5,18.5913,73.7389
Hinjewadi,0.33,0.43,0.76,2,0.95,2,Very safe route,-0.43,65.4,18.5913,73.7389
Aundh,0.32,0.32,0.21,5,0.99,3,Crowded but manageable,0.19,52.15,18.558,73.8075
NIBM,0.13,0.68,0.72,4,0.26,5,Risky area,0.39,92.85,18.48,73.89
Kharadi,0.33,0.74,0.84,4,0.12,1,Highly secure area,-0.14,81.8,18.5515,73.9348
Pimpri,0.14,0.34,0.23,0,0.35,4,Risky area,-0.48,87.6,18.6262,73.8118
Kharadi,0.12,0.43,0.3,5,0.43,3,Highly secure area,-0.12,69.25,18.5515,73.9348
Karve Nagar,0.17,0.21,0.76,1,0.54,3,Crowded but manageable,-0.14,86.05,18.4912,73.8214
Hadapsar,0.5,0.13,0.49,1,0.83,4,Comfortable route,-0.1,63.75,18.5089,73.9259
Wakad,0.8,0.75,0.82,4,0.54,4,Feels unsafe at night,-0.04,56.05,18.5987,73.7656
Pimpri,0.42,0.33,0.43,0,0.26,4,Comfortable route,-0.12,85.45,18.6262,73.8118
Kothrud,0.65,0.8,0.68,6,0.2,5,Very safe route,-0.78,47.1,18.5074,73.8077
Kondhwa,0.93,0.35,0.41,2,0.92,5,Risky area,-0.74,32.65,18.4731,73.8944
Sinhagad Road,0.38,0.91,0.22,6,0.18,2,Feels unsafe at night,-0.62,57.75,18.46,73.81
Hinjewadi,0.86,0.68,0.68,4,0.5,5,Very safe route,-0.45,45.85,18.5913,73.7389
Akurdi,0.18,0.19,0.47,4,0.38,2,Crime prone area,0.84,85.35,18.6498,73.7711
Bibwewadi,0.5,0.89,0.79,6,0.35,1,Very safe route,0.53,72.2,18.4735,73.8647
Hadapsar,0.26,0.58,0.42,2,0.34,4,Comfortable route,0.61,94.85,18.5089,73.9259
Sus,0.67,0.74,0.57,4,0.4,3,Good lighting and safe,-0.11,60.35,18.5584,73.7423
Dhayari,0.49,0.35,0.32,4,0.42,2,Crowded but manageable,-0.34,55.35,18.4411,73.8058
Nigdi,0.5,0.16,0.94,1,0.89,5,Good lighting and safe,0.88,82.2,18.6429,73.7585
Akurdi,0.36,0.17,0.93,4,0.42,5,Crime prone area,0.53,77.0,18.6498,73.7711
Chinchwad,0.14,0.27,0.56,4,0.12,4,Mostly safe locality,0.37,87.2,18.6229,73.7842
Kothrud,0.52,0.85,0.66,5,0.1,3,Crime prone area,0.36,76.95,18.5074,73.8077
Hinjewadi,0.21,0.45,0.8,0,0.56,2,Not recommended after 9pm,0.53,100.0,18.5913,73.7389
Pimpri,0.79,0.16,0.29,0,0.45,5,Not recommended after 9pm,-0.48,57.5,18.6262,73.8118
NIBM,0.88,0.48,0.3,3,0.91,3,Risky area,-0.37,36.25,18.48,73.89
Warje,0.6,0.45,0.54,3,0.5,5,Very safe route,-0.74,52.05,18.4852,73.8062
Bibwewadi,0.9,0.73,0.88,6,0.41,2,Comfortable route,0.4,51.55,18.4735,73.8647
Yerwada,0.3,0.76,0.81,6,0.47,3,Highly secure area,-0.0,68.1,18.5538,73.8826
Balewadi,0.49,0.16,0.37,5,0.52,1,Very safe route,-0.84,38.5,18.576,73.7739
NIBM,0.31,0.8,0.49,5,0.58,1,Crime prone area,0.15,70.15,18.48,73.89
Bhosari,0.93,0.9,0.62,4,0.7,4,Crime prone area,-0.6,39.5,18.6298,73.8446
Bhosari,0.45,0.77,0.45,5,0.92,3,Highly secure area,0.75,65.9,18.6298,73.8446
Pashan,0.84,0.45,0.22,5,0.68,1,Mostly safe locality,0.39,42.6,18.5397,73.7932
Nigdi,0.69,0.75,0.33,4,0.75,1,Risky area,-0.62,42.65,18.6429,73.7585
NIBM,0.33,0.58,0.53,2,0.53,3,Highly secure area,0.17,82.75,18.48,73.89
Dhayari,0.62,0.13,0.62,5,0.17,2,Highly secure area,-0.19,52.1,18.4411,73.8058
Chinchwad,0.35,0.83,0.68,1,0.15,1,Risky area,-0.38,91.55,18.6229,73.7842
Magarpatta,0.48,0.23,0.3,0,0.59,2,Mostly safe locality,-0.07,74.4,18.5136,73.9213
Pimpri,0.91,0.27,0.8,6,0.15,4,Mostly safe locality,0.82,54.95,18.6262,73.8118
Balewadi,0.48,0.53,0.17,1,0.74,4,Comfortable route,0.61,79.8,18.576,73.7739
Dhayari,0.2,0.54,0.84,0,0.31,3,Mostly safe locality,0.37,100.0,18.4411,73.8058
Pimpri,0.44,0.68,0.58,4,0.4,5,Not recommended after 9pm,0.71,81.05,18.6262,73.8118
Akurdi,0.22,0.68,0.19,0,0.4,3,Feels unsafe at night,0.8,100.0,18.6498,73.7711
NIBM,0.61,0.69,0.32,3,0.46,4,Good lighting and safe,-0.05,64.2,18.48,73.89
Kothrud,0.2,0.72,0.45,5,0.22,4,Risky area,0.84,90.5,18.5074,73.8077
Karve Nagar,0.63,0.42,0.57,0,0.66,4,Comfortable route,0.17,76.15,18.4912,73.8214
Camp,0.43,0.44,0.81,2,0.72,4,Not recommended after 9pm,0.2,76.1,18.5204,73.8787
Akurdi,0.58,0.71,0.53,6,0.28,5,Feels unsafe at night,-0.15,54.9,18.6498,73.7711
Hinjewadi,0.93,0.32,0.58,0,0.62,1,Risky area,-0.45,54.25,18.5913,73.7389
Yerwada,0.94,0.71,0.56,2,0.62,5,Risky area,-0.46,49.35,18.5538,73.8826
Swargate,0.76,0.24,0.79,5,0.82,3,Highly secure area,-0.61,30.55,18.5018,73.8585
Wakad,0.5,0.24,0.17,5,0.65,1,Feels unsafe at night,-0.53,39.35,18.5987,73.7656
Karve Nagar,0.22,0.49,0.38,2,0.95,4,Comfortable route,0.67,83.4,18.4912,73.8214
Shivajinagar,0.51,0.11,0.36,6,0.44,5,Crime prone area,-0.07,45.0,18.5314,73.8446
Karve Nagar,0.62,0.33,0.16,4,0.78,2,Good lighting and safe,0.12,47.95,18.4912,73.8214
Camp,0.73,0.22,0.94,0,0.79,5,Not recommended after 9pm,0.64,77.3,18.5204,73.8787
Viman Nagar,0.82,0.42,0.21,3,0.71,4,Comfortable route,-0.88,33.2,18.5679,73.9143
Yerwada,0.84,0.22,0.3,0,0.11,4,Mostly safe locality,0.43,76.95,18.5538,73.8826
Magarpatta,0.89,0.2,0.73,0,0.45,2,Comfortable route,0.5,73.2,18.5136,73.9213
Camp,0.74,0.24,0.11,6,0.21,2,Risky area,0.29,45.25,18.5204,73.8787
Hadapsar,0.36,0.28,0.85,4,0.71,3,Comfortable route,-0.48,56.9,18.5089,73.9259
Kondhwa,0.75,0.84,0.87,1,0.58,1,Crowded but manageable,0.07,75.75,18.4731,73.8944
Bhosari,0.91,0.52,0.52,4,0.17,5,Feels unsafe at night,0.43,59.65,18.6298,73.8446
Katraj,0.63,0.24,0.27,5,0.75,4,Risky area,0.38,46.8,18.4529,73.8554
Akurdi,0.79,0.28,0.49,2,0.18,5,Risky area,-0.89,50.55,18.6498,73.7711
Balewadi,0.48,0.31,0.8,2,0.84,3,Comfortable route,0.04,67.25,18.576,73.7739
Magarpatta,0.18,0.71,0.92,5,0.74,2,Risky area,0.32,77.65,18.5136,73.9213
Hinjewadi,0.8,0.15,0.93,2,0.17,3,Very safe route,0.77,77.7,18.5913,73.7389
Akurdi,0.54,0.27,0.15,5,0.97,2,Feels unsafe at night,0.2,42.55,18.6498,73.7711
NIBM,0.64,0.36,0.31,0,0.7,5,Crime prone area,-0.7,58.4,18.48,73.89
Sus,0.57,0.16,0.68,0,0.82,5,Comfortable route,-0.85,57.25,18.5584,73.7423
Hinjewadi,0.18,0.7,0.87,2,0.37,2,Risky area,-0.35,89.35,18.5913,73.7389
Kondhwa,0.81,0.19,0.64,1,0.31,4,Highly secure area,-0.88,52.45,18.4731,73.8944
Hinjewadi,0.29,0.46,0.66,2,0.95,3,Very safe route,0.43,79.35,18.5913,73.7389
Kondhwa,0.73,0.42,0.36,0,0.88,1,Feels unsafe at night,-0.72,52.3,18.4731,73.8944
Kothrud,0.38,0.76,0.54,1,0.83,4,Crime prone area,-0.14,77.9,18.5074,73.8077
Deccan,0.7,0.15,0.52,0,0.53,3,Comfortable route,-0.76,57.45,18.5173,73.8413
Bibwewadi,0.21,0.56,0.93,1,0.81,5,Not recommended after 9pm,0.2,91.1,18.4735,73.8647
Bibwewadi,0.16,0.51,0.75,5,0.46,4,Feels unsafe at night,-0.09,73.2,18.4735,73.8647
Deccan,0.94,0.91,0.33,6,0.46,4,Crime prone area,0.04,40.75,18.5173,73.8413
Hinjewadi,0.94,0.36,0.29,3,0.96,2,Comfortable route,-0.65,26.75,18.5913,73.7389
Dhayari,0.54,0.4,0.16,1,0.95,3,Risky area,0.04,62.6,18.4411,73.8058
Katraj,0.47,0.48,0.74,2,0.7,5,Mostly safe locality,0.21,74.95,18.4529,73.8554
Hinjewadi,0.72,0.55,0.62,5,0.89,3,Mostly safe locality,-0.37,37.3,18.5913,73.7389
Aundh,0.87,0.17,0.91,6,0.52,3,Risky area,-0.12,34.65,18.558,73.8075
Nigdi,0.68,0.79,0.94,2,0.35,1,Comfortable route,-0.56,68.65,18.6429,73.7585
Karve Nagar,0.79,0.76,0.64,5,0.54,4,Crime prone area,-0.47,43.35,18.4912,73.8214
Camp,0.82,0.46,0.13,4,0.17,4,Crowded but manageable,-0.49,44.65,18.5204,73.8787
Hadapsar,0.83,0.46,0.17,2,0.71,4,Risky area,-0.31,46.55,18.5089,73.9259
Bibwewadi,0.18,0.34,0.84,0,0.12,4,Crime prone area,0.42,100.0,18.4735,73.8647
Akurdi,0.42,0.69,0.27,5,0.51,3,Not recommended after 9pm,0.38,66.75,18.6498,73.7711
